iter	Passed	Remaining
1037	1768	1639
1038	1770	1637
1039	1771	1635
1040	1773	1634
1041	1775	1632
1042	1777	1630
1043	1779	1629
1044	1781	1627
1045	1783	1626
1046	1785	1624
1047	1786	1623
1048	1788	1621
1049	1790	1619
1050	1792	1618
1051	1793	1616
1052	1795	1614
1053	1797	1612
1054	1799	1611
1055	1801	1610
1056	1802	1608
1057	1804	1606
1058	1806	1605
1059	1808	1603
1060	1809	1601
1061	1811	1600
1062	1813	1598
1063	1815	1597
1064	1817	1595
1065	1819	1593
1066	1820	1592
1067	1822	1590
1068	1824	1588
1069	1826	1587
1070	1827	1585
1071	1830	1584
1072	1832	1583
1073	1834	1581
1074	1836	1580
1075	1838	1578
1076	1840	1577
1077	1842	1575
1078	1844	1574
1079	1846	1572
1080	1848	1571
1081	1850	1569
1082	1852	1568
1083	1853	1566
1084	1855	1564
1085	1857	1563
1086	1859	1561
1087	1861	1560
1088	1863	1559
1089	1865	1557
1090	1867	1555
1091	1869	1554
1092	1871	1552
1093	1872	1551
1094	1874	1549
1095	1876	1547
1096	1878	1546
1097	1880	1544
1098	1882	1543
1099	1884	1541
1100	1886	1540
1101	1887	1538
1102	1889	1536
1103	1891	1535
1104	1893	1533
1105	1896	1532
1106	1898	1531
1107	1899	1529
1108	1901	1527
1109	1903	1526
1110	1905	1524
1111	1907	1522
1112	1908	1521
1113	1910	1519
1114	1913	1518
1115	1915	1516
1116	1916	1515
1117	1918	1513
1118	1920	1512
1119	1922	1510
1120	1924	1508
1121	1926	1507
1122	1928	1505
1123	1930	1504
1124	1932	1502
1125	1933	1501
1126	1935	1499
1127	1937	1497
1128	1939	1496
1129	1941	1494
1130	1942	1492
1131	1945	1491
1132	1947	1489
1133	1948	1488
1134	1950	1486
1135	1952	1484
1136	1954	1483
1137	1955	1481
1138	1957	1479
1139	1959	1478
1140	1962	1477
1141	1964	1475
1142	1965	1474
1143	1967	1472
1144	1969	1470
1145	1971	1468
1146	1972	1467
1147	1974	1465
1148	1976	1463
1149	1978	1462
1150	1979	1460
1151	1981	1458
1152	1983	1457
1153	1986	1455
1154	1988	1454
1155	1990	1453
1156	1993	1452
1157	1997	1452
1158	2000	1451
1159	2003	1451
1160	2007	1450
1161	2012	1451
1162	2014	1449
1163	2016	1448
1164	2019	1447
1165	2020	1445
1166	2022	1443
1167	2024	1442
1168	2027	1440
1169	2029	1439
1170	2031	1437
1171	2033	1436
1172	2035	1435
1173	2037	1433
1174	2040	1432
1175	2043	1432
1176	2045	1430
1177	2048	1429
1178	2050	1427
1179	2052	1426
1180	2054	1424
1181	2055	1422
1182	2057	1421
1183	2060	1419
1184	2062	1418
1185	2064	1416
1186	2065	1415
1187	2067	1413
1188	2070	1411
1189	2072	1410
1190	2075	1409
1191	2077	1408
1192	2079	1406
1193	2081	1405
1194	2083	1403
1195	2085	1402
1196	2087	1400
1197	2089	1398
1198	2091	1397
1199	2093	1395
1200	2095	1394
1201	2097	1392
1202	2099	1391
1203	2102	1389
1204	2104	1388
1205	2107	1387
1206	2109	1386
1207	2112	1384
1208	2113	1383
1209	2116	1381
1210	2118	1380
1211	2120	1378
1212	2122	1377
